Panelist ID,Panelist Type,Combined Pre-Tax Income of HH,Family Size,HH_RACE,Type of Residential Possession,COUNTY,HH_AGE,HH_EDU,HH_OCC,Age Group Applied to Male HH,Education Level Reached by Male HH,Occupation Code of Male HH,Male Working Hour Code,MALE_SMOKE,Age Group Applied to Female HH,Education Level Reached by Female HH,Occupation Code of Female HH,Female Working Hour Code,FEM_SMOKE,Number of Dogs,Number of Cats,Children Group Code,Marital Status,Language,Number of TVs Used by HH,Number of TVs Hooked to Cable,Year,HISP_FLAG,HISP_CAT,HH Head Race (RACE2),HH Head Race (RACE3),Microwave Owned by HH,ZIPCODE,FIPSCODE,market based upon zipcode,IRI Geography Number,EXT_FACT
1143271,0,4,3,1,1,,,,,7,9,11,5,,3,5,3,2,,1,2,5,1,,,,1,,,,,,,,,,
1143297,0,5,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,2,,,,1,,,,,,,,,,
1143305,0,9,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1143321,0,6,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1143339,0,6,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,2,,,,1,,,,,,,,,,
1143347,0,1,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1143354,0,7,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1143362,0,2,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1143370,0,5,1,1,1,,,,,7,9,11,5,,3,5,2,3,,0,1,8,1,,,,1,,,,,,,,,,
1143388,0,4,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1143396,0,8,5,3,2,,,,,3,3,6,3,,2,4,8,2,,1,1,4,2,,,,1,,,,,,,,,,
1143412,0,1,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1143420,0,7,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,2,,,,1,,,,,,,,,,
1143446,0,5,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1143453,0,1,3,0,1,,,,,7,9,11,5,,1,6,13,1,,0,0,6,1,,,,1,,,,,,,,,,
1143461,0,4,1,1,1,,,,,7,9,11,5,,1,6,3,2,,0,0,8,1,,,,1,,,,,,,,,,
1143479,0,4,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,2,,,,1,,,,,,,,,,
1143487,0,6,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1143495,0,10,1,1,2,,,,,7,9,11,5,,5,6,2,3,,0,2,8,2,,,,1,,,,,,,,,,
1143503,0,1,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1143537,0,9,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1143545,0,12,6,1,2,,,,,3,7,1,3,,3,7,13,1,,0,0,6,2,,,,1,,,,,,,,,,
1143560,0,8,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1143586,0,11,6,1,2,,,,,3,7,13,1,,2,7,2,3,,1,0,4,2,,,,1,,,,,,,,,,
1143594,0,4,4,0,1,,,,,2,3,13,1,,2,4,4,3,,0,0,2,1,,,,1,,,,,,,,,,
1143628,0,3,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,3,,,,1,,,,,,,,,,
1143636,0,3,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1143644,0,6,1,1,1,,,,,7,9,11,5,,1,7,3,3,,0,0,8,1,,,,1,,,,,,,,,,
1143651,0,7,3,1,1,,,,,7,9,11,5,,3,7,2,3,,0,0,3,3,,,,1,,,,,,,,,,
1143669,0,6,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,2,,,,1,,,,,,,,,,
1143677,0,8,4,1,2,,,,,3,6,1,3,,3,7,4,2,,1,2,2,2,,,,1,,,,,,,,,,
1143685,0,6,4,0,1,,,,,4,3,3,3,,3,3,7,3,,0,0,3,1,,,,1,,,,,,,,,,
1143701,0,1,1,1,1,,,,,7,9,11,5,,6,3,10,4,,0,0,8,1,,,,1,,,,,,,,,,
1143719,0,2,1,1,2,,,,,7,9,11,5,,5,3,10,4,,0,0,8,4,,,,1,,,,,,,,,,
1143735,0,8,4,1,1,,,,,3,4,7,3,,4,6,1,3,,0,0,2,2,,,,1,,,,,,,,,,
1143743,0,7,3,1,2,,,,,2,6,7,3,,1,6,8,2,,0,0,2,2,,,,1,,,,,,,,,,
1143750,0,11,6,1,1,,,,,2,5,6,3,,1,6,13,1,,0,5,6,2,,,,1,,,,,,,,,,
1143768,0,5,2,1,2,,,,,7,9,11,5,,3,7,4,3,,2,4,2,3,,,,1,,,,,,,,,,
1143792,0,8,3,1,1,,,,,2,5,1,3,,2,7,2,2,,0,1,1,2,,,,1,,,,,,,,,,
1143800,0,10,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,2,,,,1,,,,,,,,,,
1143826,0,5,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1143834,0,6,5,1,2,,,,,3,5,1,3,,2,6,13,1,,0,0,5,2,,,,1,,,,,,,,,,
1143842,0,5,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,2,,,,1,,,,,,,,,,
1143859,0,2,4,0,1,,,,,2,3,13,1,,3,4,7,2,,0,0,2,2,,,,1,,,,,,,,,,
1143875,0,11,2,1,2,,,,,4,6,7,3,,3,6,2,3,,1,0,8,2,,,,1,,,,,,,,,,
1143891,0,7,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,2,,,,1,,,,,,,,,,
1143917,0,9,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,2,,,,1,,,,,,,,,,
1143933,0,11,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,2,,,,1,,,,,,,,,,
1143941,0,8,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1143958,0,1,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1143974,0,11,3,1,2,,,,,5,8,10,4,,1,7,3,3,,0,0,8,1,,,,1,,,,,,,,,,
1143982,0,5,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1143990,0,7,1,1,2,,,,,7,9,11,5,,5,8,3,2,,1,0,8,3,,,,1,,,,,,,,,,
1144014,0,1,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,2,,,,1,,,,,,,,,,
1144030,0,9,2,0,1,,,,,2,7,1,3,,2,7,2,3,,1,2,8,1,,,,1,,,,,,,,,,
1144055,0,8,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,2,,,,1,,,,,,,,,,
1144089,0,1,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1144097,0,5,1,1,2,,,,,7,9,11,5,,6,4,10,4,,0,1,8,3,,,,1,,,,,,,,,,
1144105,0,5,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1144113,0,1,3,1,1,,,,,7,9,11,5,,2,4,13,1,,0,2,2,3,,,,1,,,,,,,,,,
1144121,0,9,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1144188,0,6,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1144196,0,7,2,3,2,,,,,3,6,1,3,,3,7,13,1,,0,0,8,2,,,,1,,,,,,,,,,
1144204,0,6,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1144212,0,4,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1144220,0,7,3,0,1,,,,,4,7,0,3,,2,6,1,3,,0,0,8,1,,,,1,,,,,,,,,,
1144238,0,2,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,2,,,,1,,,,,,,,,,
1144246,0,3,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1144295,0,11,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,2,,,,1,,,,,,,,,,
1144345,0,7,1,3,2,,,,,7,9,11,5,,2,6,4,3,,0,0,8,1,,,,1,,,,,,,,,,
1144360,0,9,4,1,2,,,,,2,7,10,3,,1,6,7,3,,1,2,4,2,,,,1,,,,,,,,,,
1144378,0,4,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1144386,0,12,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,2,,,,1,,,,,,,,,,
1144394,0,1,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1144402,0,2,3,1,2,,,,,4,6,13,1,,3,4,3,2,,2,1,2,1,,,,1,,,,,,,,,,
1144410,0,2,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1144428,0,11,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,3,,,,1,,,,,,,,,,
1144436,0,5,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,2,,,,1,,,,,,,,,,
1144444,0,3,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1144451,0,6,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,2,,,,1,,,,,,,,,,
1144485,0,10,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1144493,0,11,2,1,1,,,,,7,9,11,5,,1,7,0,6,,0,0,8,1,,,,1,,,,,,,,,,
1144501,6,1,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1144519,0,3,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,2,,,,1,,,,,,,,,,
1144527,0,4,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1144535,0,6,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1144568,0,4,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1144576,0,7,2,1,1,,,,,1,4,6,3,,1,4,2,3,,1,1,8,1,,,,1,,,,,,,,,,
1144592,0,12,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,2,,,,1,,,,,,,,,,
1144618,0,7,1,1,2,,,,,7,9,11,5,,3,5,4,3,,0,2,8,1,,,,1,,,,,,,,,,
1144626,0,2,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1144634,0,8,3,1,2,,,,,3,4,7,3,,3,4,4,3,,2,1,8,2,,,,1,,,,,,,,,,
1144659,0,7,2,1,2,,,,,3,6,1,3,,3,7,1,3,,1,0,8,2,,,,1,,,,,,,,,,
1144667,0,11,4,1,2,,,,,3,4,2,3,,3,4,2,3,,0,1,4,2,,,,1,,,,,,,,,,
1144675,0,5,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,2,,,,1,,,,,,,,,,
1144691,0,1,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1144709,0,7,4,1,2,,,,,2,5,6,3,,1,4,8,2,,0,0,1,2,,,,1,,,,,,,,,,
1144717,0,3,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1144725,0,4,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1144733,0,9,4,1,2,,,,,2,8,1,3,,2,7,13,1,,0,0,1,2,,,,1,,,,,,,,,,
1144741,0,6,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1144758,0,6,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1144766,0,6,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,3,,,,1,,,,,,,,,,
1144790,0,8,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,2,,,,1,,,,,,,,,,
1144808,0,9,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1144816,0,9,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,2,,,,1,,,,,,,,,,
1144824,0,2,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1144840,0,6,1,3,1,,,,,7,9,11,5,,1,7,0,6,,0,1,8,1,,,,1,,,,,,,,,,
1144857,0,4,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1144865,0,2,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1144873,0,7,3,1,2,,,,,4,4,7,3,,4,5,13,1,,1,0,8,2,,,,1,,,,,,,,,,
1144881,0,7,4,1,2,,,,,3,4,6,3,,1,6,13,1,,0,1,6,2,,,,1,,,,,,,,,,
1144915,0,1,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1144923,0,10,1,1,2,,,,,7,9,11,5,,3,7,1,3,,0,1,8,3,,,,1,,,,,,,,,,
1144931,0,6,1,1,1,,,,,7,9,11,5,,1,8,1,3,,0,1,8,1,,,,1,,,,,,,,,,
1144949,0,11,5,2,2,,,,,4,5,7,3,,3,7,1,3,,1,0,5,2,,,,1,,,,,,,,,,
1144972,0,8,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1145003,0,1,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1145011,0,1,3,1,2,,,,,2,5,13,1,,2,8,1,2,,1,0,1,2,,,,1,,,,,,,,,,
1145029,0,7,3,1,1,,,,,1,4,7,3,,1,4,3,3,,1,0,1,1,,,,1,,,,,,,,,,
1145045,0,3,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1145052,0,8,2,1,2,,,,,3,6,2,3,,1,4,3,3,,1,0,8,1,,,,1,,,,,,,,,,
1145060,0,8,5,1,2,,,,,3,5,13,1,,3,5,7,3,,0,0,4,2,,,,1,,,,,,,,,,
1145086,0,9,5,1,2,,,,,1,6,1,3,,1,6,1,3,,0,0,4,2,,,,1,,,,,,,,,,
1145094,0,5,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,2,,,,1,,,,,,,,,,
1145110,0,3,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1145128,0,7,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,2,,,,1,,,,,,,,,,
1145177,0,9,3,1,2,,,,,3,6,8,2,,7,9,11,5,,0,0,1,2,,,,1,,,,,,,,,,
1145185,0,7,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1145193,0,10,1,1,2,,,,,7,9,11,5,,6,8,10,4,,0,0,8,4,,,,1,,,,,,,,,,
1145201,0,10,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1145227,0,7,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,2,,,,1,,,,,,,,,,
1145243,0,6,2,4,1,,,,,7,9,11,5,,2,6,13,1,,0,1,2,1,,,,1,,,,,,,,,,
1145250,0,7,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,2,,,,1,,,,,,,,,,
1145268,0,11,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,2,,,,1,,,,,,,,,,
1145276,0,1,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1145284,0,9,3,1,2,,,,,3,5,2,2,,3,3,9,3,,0,1,1,2,,,,1,,,,,,,,,,
1145318,0,10,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1145334,0,5,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1145359,0,5,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1145433,0,4,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1145441,0,7,4,1,2,,,,,3,6,13,1,,2,6,3,2,,0,1,1,2,,,,1,,,,,,,,,,
1145458,0,8,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,2,,,,1,,,,,,,,,,
1145466,0,7,6,1,2,,,,,2,4,3,3,,2,4,13,1,,0,0,7,2,,,,1,,,,,,,,,,
1145474,0,8,3,0,2,,,,,3,4,6,3,,2,7,2,3,,1,0,3,2,,,,1,,,,,,,,,,
1145524,0,7,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,3,,,,1,,,,,,,,,,
1145557,0,5,6,1,2,,,,,3,4,1,3,,3,4,1,2,,0,2,6,2,,,,1,,,,,,,,,,
1145573,6,6,1,1,1,,,,,7,9,11,5,,2,6,3,3,,4,0,8,1,,2,2,1,,,,,,,,,,
1145599,0,7,2,1,2,,,,,2,4,7,3,,2,7,1,2,,0,2,8,2,,,,1,,,,,,,,,,
1145607,0,9,5,1,2,,,,,4,7,2,3,,4,6,4,2,,0,0,3,2,,,,1,,,,,,,,,,
1145615,0,1,1,1,1,,,,,1,4,4,2,,7,9,11,5,,2,0,8,1,,,,1,,,,,,,,,,
1145649,0,4,1,1,1,,,,,7,9,11,5,,1,3,0,3,,0,1,8,1,,,,1,,,,,,,,,,
1145664,0,5,4,1,2,,,,,3,4,7,3,,2,5,4,3,,1,0,6,1,,,,1,,,,,,,,,,
1145672,0,5,2,1,1,,,,,7,9,11,5,,3,6,4,3,,0,0,3,1,,,,1,,,,,,,,,,
1145698,0,9,4,1,2,,,,,3,6,5,3,,3,6,3,3,,1,0,3,3,,,,1,,,,,,,,,,
1145706,0,8,4,1,2,,,,,3,7,2,3,,3,6,3,2,,0,0,6,2,,,,1,,,,,,,,,,
1145722,0,6,3,1,2,,,,,7,9,11,5,,3,6,7,3,,0,0,3,3,,,,1,,,,,,,,,,
1145755,0,7,4,1,1,,,,,2,6,7,3,,2,6,8,3,,0,0,4,2,,,,1,,,,,,,,,,
1145763,0,9,4,1,2,,,,,3,4,3,3,,3,5,8,2,,0,0,1,2,,,,1,,,,,,,,,,
1145789,0,8,1,1,1,,,,,7,9,11,5,,4,5,1,3,,1,2,8,3,,,,1,,,,,,,,,,
1145797,0,2,1,1,1,,,,,7,9,11,5,,3,5,13,1,,1,0,8,1,,,,1,,,,,,,,,,
1145805,0,2,4,1,1,,,,,7,9,11,5,,3,4,4,2,,1,0,6,3,,,,1,,,,,,,,,,
1145821,0,10,3,1,2,,,,,3,6,5,3,,1,6,4,3,,0,2,3,2,,,,1,,,,,,,,,,
1145839,0,8,4,1,2,,,,,3,8,1,3,,2,7,1,2,,0,0,1,2,,,,1,,,,,,,,,,
1145847,0,9,3,1,2,,,,,3,7,1,3,,2,5,1,2,,0,0,1,2,,,,1,,,,,,,,,,
1145854,0,3,1,1,2,,,,,5,7,5,2,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1145862,0,6,2,1,1,,,,,7,9,11,5,,3,5,3,3,,1,0,3,1,,,,1,,,,,,,,,,
1145888,0,11,5,1,2,,,,,4,8,3,3,,3,7,1,3,,1,0,6,2,,,,1,,,,,,,,,,
1145896,0,11,4,1,2,,,,,4,4,6,3,,4,7,3,3,,0,1,2,2,,,,1,,,,,,,,,,
1145904,0,3,1,1,2,,,,,7,9,11,5,,6,6,10,4,,0,0,8,4,,,,1,,,,,,,,,,
1145912,0,1,1,1,1,,,,,5,1,13,1,,7,9,11,5,,0,1,8,1,,,,1,,,,,,,,,,
1145920,0,5,1,1,2,,,,,7,9,11,5,,6,6,10,4,,0,0,8,1,,,,1,,,,,,,,,,
1145938,0,8,2,1,2,,,,,3,4,8,3,,4,4,3,3,,1,1,8,2,,,,1,,,,,,,,,,
1145946,0,6,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1145961,0,6,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,2,,,,1,,,,,,,,,,
1145987,0,5,1,1,1,,,,,7,9,11,5,,6,3,10,4,,0,0,8,4,,,,1,,,,,,,,,,
1145995,0,7,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,5,,,,1,,,,,,,,,,
1146019,0,11,1,1,2,,,,,7,9,11,5,,4,7,3,3,,0,0,8,2,,,,1,,,,,,,,,,
1146027,0,10,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,2,,,,1,,,,,,,,,,
1146035,0,7,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,2,,,,1,,,,,,,,,,
1146043,0,1,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1146050,0,11,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,2,,,,1,,,,,,,,,,
1146076,0,3,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1146084,0,5,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1146100,0,3,2,1,1,,,,,0,6,0,3,,5,6,13,1,,1,0,8,2,,,,1,,,,,,,,,,
1146126,0,5,1,0,1,,,,,0,0,0,0,,7,9,11,5,,0,0,8,3,,,,1,,,,,,,,,,
1146134,0,8,4,1,2,,,,,3,4,7,3,,3,5,13,1,,2,1,2,2,,,,1,,,,,,,,,,
1146142,0,0,1,0,0,,,,,0,0,0,0,,7,9,11,5,,0,0,8,0,,,,1,,,,,,,,,,
1146159,0,12,5,1,2,,,,,4,7,1,3,,3,4,13,1,,1,2,6,2,,,,1,,,,,,,,,,
1146191,0,7,4,1,2,,,,,2,4,7,3,,3,4,13,1,,1,1,3,2,,,,1,,,,,,,,,,
1146217,0,12,2,1,2,,,,,3,8,1,3,,2,7,2,3,,0,1,8,2,,,,1,,,,,,,,,,
1146233,0,6,3,5,1,,,,,2,4,13,1,,2,6,3,3,,0,1,2,1,,,,1,,,,,,,,,,
1146241,0,7,4,1,1,,,,,2,4,6,3,,1,4,13,1,,0,0,1,1,,,,1,,,,,,,,,,
1146258,0,7,3,1,1,,,,,7,9,11,5,,1,7,1,3,,1,0,8,1,,,,1,,,,,,,,,,
1146266,0,1,2,1,1,,,,,7,9,11,5,,1,3,4,2,,0,0,2,1,,,,1,,,,,,,,,,
1146290,0,11,2,3,2,,,,,4,0,6,0,,3,7,1,3,,0,0,8,2,,,,1,,,,,,,,,,
1146332,0,11,5,1,2,,,,,3,4,7,3,,3,5,1,2,,0,0,4,2,,,,1,,,,,,,,,,
1146340,0,6,5,1,2,,,,,2,4,6,3,,2,6,5,2,,0,1,6,2,,,,1,,,,,,,,,,
1146357,0,4,3,1,1,,,,,7,9,11,5,,3,5,1,2,,0,4,6,1,,,,1,,,,,,,,,,
1146365,0,3,6,3,2,,,,,3,5,13,1,,2,5,3,2,,0,0,6,2,,,,1,,,,,,,,,,
1146373,0,3,2,1,2,,,,,7,9,11,5,,6,4,10,4,,0,0,8,4,,,,1,,,,,,,,,,
1146399,0,1,1,1,1,,,,,1,7,8,2,,7,9,11,5,,0,0,8,1,,,,1,,,,,,,,,,
1146415,0,7,6,1,1,,,,,3,4,7,2,,3,5,13,1,,1,1,6,2,,,,1,,,,,,,,,,
1146423,0,7,4,1,2,,,,,3,0,0,3,,3,3,8,3,,2,0,8,2,,,,1,,,,,,,,,,
1146449,0,1,3,1,1,,,,,7,9,11,5,,3,3,3,2,,0,0,3,3,,,,1,,,,,,,,,,
1146456,0,7,2,2,1,,,,,3,8,1,3,,3,7,1,2,,0,0,8,2,,,,1,,,,,,,,,,
1146464,0,9,1,3,2,,,,,3,7,2,3,,7,9,11,5,,0,0,8,3,,,,1,,,,,,,,,,
1146472,0,1,1,1,1,,,,,7,9,11,5,,2,8,4,3,,0,0,8,2,,,,1,,,,,,,,,,
1146498,0,1,1,1,1,,,,,7,9,11,5,,1,4,3,2,,1,1,8,1,,,,1,,,,,,,,,,
1146506,0,7,3,4,1,,,,,3,8,1,3,,3,6,13,1,,0,0,3,2,,,,1,,,,,,,,,,
1146514,0,4,3,3,2,,,,,1,4,1,3,,1,6,1,3,,1,1,1,1,,,,1,,,,,,,,,,
1146530,0,7,1,3,1,,,,,3,7,1,3,,7,9,11,5,,0,0,8,5,,,,1,,,,,,,,,,
1146548,0,5,2,1,1,,,,,7,9,11,5,,1,6,2,3,,0,0,2,1,,,,1,,,,,,,,,,
1146555,0,6,2,1,1,,,,,5,7,4,2,,4,4,4,3,,0,1,8,2,,,,1,,,,,,,,,,
1146563,0,6,1,0,2,,,,,0,0,0,0,,7,9,11,5,,0,0,8,4,,,,1,,,,,,,,,,
1146647,0,8,4,1,2,,,,,2,8,3,3,,2,8,2,3,,0,0,4,2,,,,1,,,,,,,,,,
1146654,0,12,4,1,2,,,,,3,8,1,3,,3,8,1,3,,0,0,2,2,,,,1,,,,,,,,,,
1146688,0,3,2,0,1,,,,,7,9,11,5,,4,6,4,3,,0,0,8,5,,,,1,,,,,,,,,,
1146712,0,1,4,1,1,,,,,7,9,11,5,,2,4,13,1,,0,0,2,1,,,,1,,,,,,,,,,
1146720,0,6,1,1,1,,,,,7,9,11,5,,3,6,1,3,,0,1,8,3,,,,1,,,,,,,,,,
1146753,0,6,2,1,2,,,,,7,9,11,5,,6,2,13,1,,0,0,8,4,,,,1,,,,,,,,,,
1146761,0,6,2,2,1,,,,,1,4,2,3,,1,3,13,1,,0,1,8,2,,,,1,,,,,,,,,,
1146795,0,8,3,1,2,,,,,2,6,4,3,,1,6,13,1,,1,2,2,2,,,,1,,,,,,,,,,
1146837,0,2,2,2,1,,,,,1,4,7,3,,1,6,1,3,,0,0,8,1,,,,1,,,,,,,,,,
1146845,0,1,2,3,1,,,,,7,9,11,5,,1,3,3,2,,0,0,2,1,,,,1,,,,,,,,,,
1146852,0,6,1,1,1,,,,,1,7,1,3,,7,9,11,5,,1,0,8,1,,,,1,,,,,,,,,,
1146860,0,2,3,2,1,,,,,1,4,13,1,,1,4,1,2,,0,0,1,1,,,,1,,,,,,,,,,
1146878,0,2,2,1,1,,,,,7,9,11,5,,1,3,13,1,,0,0,2,1,,,,1,,,,,,,,,,
1146886,0,9,3,3,2,,,,,2,5,6,3,,1,8,6,3,,1,1,2,2,,,,1,,,,,,,,,,
1146894,0,5,2,1,2,,,,,6,4,10,4,,6,4,10,4,,0,2,8,2,,,,1,,,,,,,,,,
1146902,0,4,1,1,1,,,,,7,9,11,5,,1,6,8,2,,0,0,8,3,,,,1,,,,,,,,,,
