PANID	WEEK	UNITS	OUTLET	DOLLARS	IRI_KEY	COLUPC
1108043	1160	2	DR	2.98	8003043	17094240430
1131268	1116	1	DR	1.5	8003043	17094240430
1197384	1160	1	DR	1.5	8003043	17094240430
1197384	1160	1	DR	1.49	8003043	17094240430
1105775	1160	1	DR	1.5	8046669	17094240430
1105775	1160	1	DR	1.49	8046669	17094240430
1132308	1135	3	DR	5.97	8046669	17094240430
1310995	1160	1	DR	1.5	8046669	17094240430
1310995	1160	1	DR	1.49	8046669	17094240430
3105502	1155	1	DR	1.99	651444	17094240430
3120188	1155	1	DR	1.99	651444	17094240430
3128066	1153	1	DR	1.99	651444	17094240430
3128066	1153	1	DR	1.99	651444	17094240430
3130401	1132	1	DR	1.99	651444	17094240430
3132183	1153	1	DR	1.99	651444	17094240430
3135657	1155	1	DR	1.99	651444	17094240430
3302299	1153	1	DR	1.99	651444	17094240430
3310433	1152	1	DR	1.99	651444	17094240430
3313254	1153	1	DR	1.99	651444	17094240430
3317842	1153	1	DR	1.99	651444	17094240430
3328294	1154	1	DR	1.99	651444	17094240430
3376590	1153	1	DR	1.99	651444	17094240430
1100164	1146	2	DR	3.48	8003043	17094240432
1199893	1137	1	DR	2.49	8046669	17094240432
1315697	1158	2	DR	2.98	8046669	17094240432
3131912	1117	2	DR	3.58	651444	17094240432
3835967	1154	1	DR	1.99	1091828	17094240432
1110973	1158	2	DR	4.98	642166	17094240460
1189290	1163	2	DR	4.98	650679	17094240460
1206375	1114	1	DR	0.55	8046669	17094240462
1302315	1125	1	DR	2.19	8046669	17094240462
1110973	1158	1	DR	2.49	642166	17094240462
1313403	1158	1	DR	2.49	642166	17094240462
1151522	1161	1	DR	2.49	8000583	17094240462
1126615	1153	2	DR	2.9	8003043	18040000362
1408740	1114	2	DR	3.98	8003059	18040000540
1100180	1162	1	DR	3.99	8003042	18040000851
1138065	1146	1	DR	2.99	650679	18040000851
1198606	1133	1	DR	2.99	8000583	18040000851
1100180	1162	1	DR	3.99	8003042	18040000852
1142596	1161	1	DR	3.99	8003042	18040000852
1113423	1139	1	DR	2.49	8003043	21111359360
1230540	1140	1	DR	2.49	8003043	21111359360
1100206	1118	1	DR	2.99	662928	21111364760
3116756	1164	1	DR	2.99	651444	23500055853
3336347	1130	1	DR	2.99	651444	23500055853
3336347	1142	2	DR	4.78	651444	23500055853
3395129	1164	1	DR	2.99	651444	23500055853
1189696	1143	1	DR	1.99	8003043	23500056000
1217091	1144	1	DR	1.99	8003043	23500056000
1313445	1144	1	DR	1.99	8003043	23500056000
1137190	1114	2	DR	5.38	8003059	23500056000
3336347	1142	2	DR	4.78	651444	23500056000
1245068	1141	1	DR	2.99	8003042	23500056000
1318444	1126	1	DR	0.74	8003042	23500056005
1802348	1128	1	DR	0.74	8003042	23500056005
1138941	1127	1	DR	0.74	650679	23500056005
1246116	1140	1	DR	3.29	8003043	23500068500
1246116	1140	1	DR	3.29	8003043	23500068500
1111971	1144	1	DR	1.99	8003059	23500068500
1111971	1144	1	DR	1.99	8003059	23500068500
3327015	1129	1	DR	2.99	651444	23500068500
1130930	1123	1	DR	2.99	650679	23700000293
1402792	1145	1	DR	2	8000583	23700000293
3381251	1114	2	DR	5.18	651444	23700000869
3106013	1155	1	DR	1.99	651444	27094200460
3136804	1152	1	DR	1.99	651444	27094200460
3311993	1153	1	DR	1.99	651444	27094200460
3314443	1156	1	DR	1.99	651444	27094200460
3327015	1118	2	DR	3.58	651444	27094200460
3348607	1153	1	DR	1.99	651444	27094200460
3808899	1132	2	DR	3.9	651444	27094200460
3834762	1155	1	DR	1.99	651444	27094200460
1100503	1137	1	DR	1.86	650679	27094200460
1198432	1153	1	DR	2.49	650679	27094200460
1308577	1130	1	DR	2.99	8003059	31111301330
1141739	1158	1	DR	2.99	8003043	33700000364
1185645	1149	1	DR	2.99	8046669	33700000364
3308593	1136	2	DR	6.98	651444	33700000364
1406819	1130	1	DR	2.19	642166	33700000364
1204461	1145	1	DR	2	8003042	43700000294
1222786	1136	1	DR	2	650679	43700000294
1189290	1136	1	DR	2	8000583	43700000294
1180273	1127	2	DR	4.56	8003043	43700000302
1803148	1129	1	DR	1.49	8003043	43700000302
3327015	1114	1	DR	2.5	651444	43700000302
1802280	1125	1	DR	0.79	8000583	43700000302
1182873	1116	2	DR	7.98	8003043	43700000355
1141010	1127	1	DR	3.99	8046669	43700000355
1245001	1148	1	DR	2.76	8000583	43700000355
1230011	1154	1	DR	2.49	8003043	43700000365
